sentence,answer
"The ___ is the powerhouse of the cell.",mitochondria
"Plants use ___ to convert sunlight into food.",photosynthesis
"Water moves through a membrane by ___.",osmosis
"The ___ carries genetic information in the cell.",DNA
"A ___ is a change in the DNA sequence.",mutation
"The process by which cells divide is called ___.",mitosis
"An organism's physical appearance is its ___.",phenotype
"___ releases energy from glucose in cells.",respiration
"The ___ is where protein synthesis occurs.",ribosome
"Organisms that make their own food are ___.",producers
"The ___ controls what enters and exits the cell.",membrane
"The ___ is the cell's control center.",nucleus
